trade_date,scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,daily_ret,nav,benchmark_ret,benchmark_nav,excess_nav
2023-08-21,方案B_LGBM打分,A,2023,2021,2,14,12,-0.014077198394585766,1263310.5305860625,-0.014389,925247.3639693995,338063.166616663
2023-08-22,方案B_LGBM打分,A,2023,2021,2,14,12,0.008427389761970902,1273956.9408177135,0.007688,932360.6657035961,341596.2751141174
2023-08-23,方案B_LGBM打分,A,2023,2021,2,14,12,-0.011651864951188048,1259112.9665896767,-0.016389,917080.2067533799,342032.7598362968
2023-08-24,方案B_LGBM打分,A,2023,2021,2,14,12,-0.0016131023579337433,1257081.8884943658,0.007249,923728.1211721352,333353.7673222306
2023-08-25,方案B_LGBM打分,A,2023,2021,2,14,12,0.004017606375901715,1262132.3487046112,-0.003835,920185.6238274401,341946.7248771711
2023-08-28,方案B_LGBM打分,A,2023,2021,2,14,12,0.015935761591224895,1282245.3889101408,0.011719,930969.2791530739,351276.10975706694
2023-08-29,方案B_LGBM打分,A,2023,2021,2,14,12,0.0028534658488875895,1285904.2323372897,0.00999,940269.6622518131,345634.5700854766
2023-08-30,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004208575822645009,1280492.406874838,-0.000421,939873.808724005,340618.59815083304
2023-08-31,方案B_LGBM打分,A,2023,2021,2,14,12,-0.005556027870922446,1273377.9553737368,-0.006135000000000001,934107.6829074833,339270.2724662535
2023-09-01,方案B_LGBM打分,A,2023,2021,2,14,12,0.002390712608474075,1276422.2361070018,0.006965,940613.742918934,335808.4931880678
2023-09-04,方案B_LGBM打分,A,2023,2021,2,14,12,0.01295133722303777,1292953.6109258076,0.015155,954868.7441928703,338084.8667329373
2023-09-05,方案B_LGBM打分,A,2023,2021,2,14,12,-0.00403674028112086,1287734.2930029626,-0.0074399999999999996,947764.5207360755,339969.7722668871
2023-09-06,方案B_LGBM打分,A,2023,2021,2,14,12,-0.004051467549061466,1282517.0793030474,-0.00217,945707.8717260782,336809.2075769692
2023-09-07,方案B_LGBM打分,A,2023,2021,2,14,12,-0.009241743889045057,1270664.3849228024,-0.014049,932421.6218361985,338242.76308660395
2023-09-08,方案B_LGBM打分,A,2023,2021,2,14,12,-0.003804274803664548,1265830.4284193267,-0.004917,927836.9047216299,337993.52369769674
