natural_week,natural_week_start,natural_week_end,price_week_close_date,open,high,low,close,volume,trading_days,Ret_t
2017-11-20/2017-11-26,2017-11-20,2017-11-26,2017-11-24,4093.73,4260.64,4057.49,4104.2,813280360.0,5,-0.004040428552361863
2017-11-27/2017-12-03,2017-11-27,2017-12-03,2017-12-01,4088.93,4088.93,3984.38,3998.14,575437256.0,5,-0.025841820574046048
2017-12-04/2017-12-10,2017-12-04,2017-12-10,2017-12-08,3989.05,4045.93,3955.44,4003.38,545557408.0,5,0.001310609433386567
2017-12-11/2017-12-17,2017-12-11,2017-12-17,2017-12-15,4006.88,4070.15,3974.93,3980.86,428847048.0,5,-0.005625246666566719
2017-12-18/2017-12-24,2017-12-18,2017-12-24,2017-12-22,3983.3,4080.78,3967.93,4054.6,416296632.0,5,0.018523635596328303
2017-12-25/2017-12-31,2017-12-25,2017-12-31,2017-12-29,4057.42,4086.93,3980.24,4030.86,497228896.0,5,-0.005855078182804618
2018-01-01/2018-01-07,2018-01-01,2018-01-07,2018-01-05,4045.21,4151.28,4045.21,4138.75,582341328.0,4,0.02676600030762666
2018-01-08/2018-01-14,2018-01-08,2018-01-14,2018-01-12,4140.85,4227.39,4127.31,4225.0,696966944.0,5,0.020839625490788327
2018-01-15/2018-01-21,2018-01-15,2018-01-21,2018-01-19,4229.84,4316.57,4213.13,4285.4,928237328.0,5,0.014295857988165572
2018-01-22/2018-01-28,2018-01-22,2018-01-28,2018-01-26,4276.48,4403.34,4275.9,4381.3,968931856.0,5,0.022378307742567882
2018-01-29/2018-02-04,2018-01-29,2018-02-04,2018-02-02,4387.06,4395.91,4181.78,4271.23,811415008.0,5,-0.025122680482961846
2018-02-05/2018-02-11,2018-02-05,2018-02-11,2018-02-09,4204.46,4274.15,3759.15,3840.65,945005536.0,5,-0.10080936872985058
2018-02-12/2018-02-18,2018-02-12,2018-02-18,2018-02-14,3846.27,3986.98,3828.07,3966.96,299829864.0,3,0.0328876622446721
2018-02-19/2018-02-25,2018-02-19,2018-02-25,2018-02-23,4020.97,4085.2,4009.92,4071.09,205270312.0,2,0.026249319378062852
2018-02-26/2018-03-04,2018-02-26,2018-03-04,2018-03-02,4093.4,4128.74,3986.89,4016.46,579523928.0,5,-0.013419010633515915
2018-03-05/2018-03-11,2018-03-05,2018-03-11,2018-03-09,4021.66,4110.67,3995.87,4108.87,538525032.0,5,0.023007822809140377
2018-03-12/2018-03-18,2018-03-12,2018-03-18,2018-03-16,4130.71,4139.53,4055.82,4056.42,524743920.0,5,-0.012765066794520052
2018-03-19/2018-03-25,2018-03-19,2018-03-25,2018-03-23,4054.62,4110.12,3834.94,3904.94,528893352.0,5,-0.03734327313246655
2018-03-26/2018-04-01,2018-03-26,2018-04-01,2018-03-30,3862.69,3936.78,3794.26,3898.5,544476088.0,5,-0.0016491930733890658
2018-04-02/2018-04-08,2018-04-02,2018-04-08,2018-04-04,3897.01,3937.02,3839.93,3854.86,295110640.0,3,-0.011194048993202532
2018-04-09/2018-04-15,2018-04-09,2018-04-15,2018-04-13,3851.95,3958.71,3827.41,3871.14,456455896.0,5,0.00422324027331733
2018-04-16/2018-04-22,2018-04-16,2018-04-22,2018-04-20,3862.47,3869.16,3708.11,3760.85,494842256.0,5,-0.02849031551429293
2018-04-23/2018-04-29,2018-04-23,2018-04-29,2018-04-27,3754.69,3854.43,3714.64,3756.88,459430792.0,5,-0.0010556124280415302
2018-04-30/2018-05-06,2018-04-30,2018-05-06,2018-05-04,3769.93,3801.52,3732.37,3774.6,248816440.0,3,0.0047166797981303965
2018-05-07/2018-05-13,2018-05-07,2018-05-13,2018-05-11,3782.54,3903.34,3776.03,3872.84,392238736.0,5,0.026026598844910875
2018-05-14/2018-05-20,2018-05-14,2018-05-20,2018-05-18,3886.87,3924.34,3841.9,3903.06,361583276.0,5,0.007803059253674194
2018-05-21/2018-05-27,2018-05-21,2018-05-27,2018-05-25,3925.54,3937.46,3804.14,3816.5,390914240.0,5,-0.02217747100992551
2018-05-28/2018-06-03,2018-05-28,2018-06-03,2018-06-01,3816.27,3846.55,3722.07,3770.59,411475800.0,5,-0.01202934625966201
2018-06-04/2018-06-10,2018-06-04,2018-06-10,2018-06-08,3785.19,3859.85,3759.27,3779.62,392022424.0,5,0.002394850673236748
2018-06-11/2018-06-17,2018-06-11,2018-06-17,2018-06-15,3770.21,3830.47,3737.43,3753.43,362254256.0,5,-0.006929268021652946
2018-06-18/2018-06-24,2018-06-18,2018-06-24,2018-06-22,3702.67,3712.82,3542.46,3608.9,416451056.0,4,-0.038506113075240433
2018-06-25/2018-07-01,2018-06-25,2018-07-01,2018-06-29,3625.8,3631.03,3416.95,3510.98,399529248.0,5,-0.027132921388788867
2018-07-02/2018-07-08,2018-07-02,2018-07-08,2018-07-06,3504.46,3506.9,3295.73,3365.12,422473704.0,5,-0.04154395638824493
2018-07-09/2018-07-15,2018-07-09,2018-07-15,2018-07-13,3378.91,3499.76,3375.14,3492.69,387500784.0,5,0.037909495055154174
2018-07-16/2018-07-22,2018-07-16,2018-07-22,2018-07-20,3488.97,3506.24,3398.95,3492.89,367257844.0,5,5.7262453867945595e-05
2018-07-23/2018-07-29,2018-07-23,2018-07-29,2018-07-27,3471.86,3596.51,3464.65,3521.23,533235304.0,5,0.008113625107003086
2018-07-30/2018-08-05,2018-07-30,2018-08-05,2018-08-03,3520.85,3550.9,3315.2,3315.28,412552064.0,5,-0.058488085129344
2018-08-06/2018-08-12,2018-08-06,2018-08-12,2018-08-10,3312.82,3424.04,3257.69,3405.02,409968728.0,5,0.027068603556863913
2018-08-13/2018-08-19,2018-08-13,2018-08-19,2018-08-17,3369.98,3396.19,3224.1,3229.62,348959824.0,5,-0.051512179076774856
2018-08-20/2018-08-26,2018-08-20,2018-08-26,2018-08-24,3238.22,3353.04,3209.01,3325.33,321775096.0,5,0.02963506542565386
2018-08-27/2018-09-02,2018-08-27,2018-09-02,2018-08-31,3339.39,3416.59,3310.87,3334.5,381326764.0,5,0.0027576210481365937
2018-09-03/2018-09-09,2018-09-03,2018-09-09,2018-09-07,3320.69,3370.96,3253.73,3277.64,324068248.0,5,-0.017052031788873934
2018-09-10/2018-09-16,2018-09-10,2018-09-16,2018-09-14,3271.38,3277.88,3191.4,3242.09,304357224.0,5,-0.010846218620714776
2018-09-17/2018-09-23,2018-09-17,2018-09-23,2018-09-21,3224.93,3410.49,3193.64,3410.49,384832308.0,5,0.05194180297277362
2018-09-24/2018-09-30,2018-09-24,2018-09-30,2018-09-28,3375.97,3448.26,3367.03,3438.87,316371040.0,4,0.008321384903635654
2018-10-08/2018-10-14,2018-10-08,2018-10-14,2018-10-12,3361.56,3364.46,3094.97,3170.73,448657588.0,5,-0.0779732877369601
2018-10-15/2018-10-21,2018-10-15,2018-10-21,2018-10-19,3173.85,3183.13,3009.5,3134.95,387941536.0,5,-0.011284467614713356
2018-10-22/2018-10-28,2018-10-22,2018-10-28,2018-10-26,3159.56,3297.38,3099.89,3173.64,586036200.0,5,0.012341504649197033
2018-10-29/2018-11-04,2018-10-29,2018-11-04,2018-11-02,3157.49,3290.25,3050.77,3290.25,605236840.0,5,0.036743297916588036
2018-11-05/2018-11-11,2018-11-05,2018-11-11,2018-11-09,3269.47,3279.88,3166.31,3167.44,445888648.0,5,-0.03732543119823717
2018-11-12/2018-11-18,2018-11-12,2018-11-18,2018-11-16,3160.25,3282.39,3152.44,3257.67,553800152.0,5,0.028486727451822347
2018-11-19/2018-11-25,2018-11-19,2018-11-25,2018-11-23,3258.79,3294.6,3139.39,3143.48,459174020.0,5,-0.03505266033698928
2018-11-26/2018-12-02,2018-11-26,2018-12-02,2018-11-30,3148.67,3204.86,3126.29,3172.69,341088428.0,5,0.009292249354218907
2018-12-03/2018-12-09,2018-12-03,2018-12-09,2018-12-07,3260.69,3273.64,3176.71,3181.56,406745948.0,5,0.0027957348496070455
2018-12-10/2018-12-16,2018-12-10,2018-12-16,2018-12-14,3153.52,3234.08,3134.38,3165.91,344715060.0,5,-0.004918970567897585
2018-12-17/2018-12-23,2018-12-17,2018-12-23,2018-12-21,3158.28,3167.51,3007.61,3029.4,332347196.0,5,-0.04311872415829876
2018-12-24/2018-12-30,2018-12-24,2018-12-30,2018-12-28,3015.5,3047.24,2964.88,3010.65,343231632.0,5,-0.006189344424638588
2018-12-31/2019-01-06,2018-12-31,2019-01-06,2019-01-04,3017.07,3036.81,2935.83,3035.87,242849104.0,3,0.008376928570242193
2019-01-07/2019-01-13,2019-01-07,2019-01-13,2019-01-11,3055.15,3117.96,3035.91,3094.78,451757480.0,5,0.019404651714335586
2019-01-14/2019-01-20,2019-01-14,2019-01-20,2019-01-18,3092.5,3171.69,3064.38,3168.17,419247712.0,5,0.02371412507512649
2019-01-21/2019-01-27,2019-01-21,2019-01-27,2019-01-25,3170.88,3203.17,3125.3,3184.47,383678400.0,5,0.005144925935161249
2019-01-28/2019-02-03,2019-01-28,2019-02-03,2019-02-01,3203.12,3247.5,3148.23,3247.4,392294764.0,5,0.019761530176136244
2019-02-11/2019-02-17,2019-02-11,2019-02-17,2019-02-15,3239.81,3415.4,3239.81,3338.7,679675136.0,5,0.028114799531933077
2019-02-18/2019-02-24,2019-02-18,2019-02-24,2019-02-22,3366.42,3520.12,3366.42,3520.12,876741440.0,5,0.05433851499086484
2019-02-25/2019-03-03,2019-02-25,2019-03-03,2019-03-01,3575.85,3762.11,3574.69,3749.71,1376353040.0,5,0.06522220833380676
2019-03-04/2019-03-10,2019-03-04,2019-03-10,2019-03-08,3783.04,3886.58,3656.19,3657.58,1520257296.0,5,-0.024569900072272333
2019-03-11/2019-03-17,2019-03-11,2019-03-17,2019-03-15,3663.98,3804.72,3650.81,3745.01,1105513248.0,5,0.023903783375893495
2019-03-18/2019-03-24,2019-03-18,2019-03-24,2019-03-22,3753.64,3868.34,3733.68,3833.8,941954560.0,5,0.02370888195225107
2019-03-25/2019-03-31,2019-03-25,2019-03-31,2019-03-29,3776.44,3876.38,3687.55,3872.34,859302592.0,5,0.010052689237831869
2019-04-01/2019-04-07,2019-04-01,2019-04-07,2019-04-04,3901.17,4072.11,3901.17,4062.23,989711376.0,4,0.04903753286126733
2019-04-08/2019-04-14,2019-04-08,2019-04-14,2019-04-12,4097.1,4122.6,3961.46,3988.62,950061744.0,5,-0.018120588937603266
2019-04-15/2019-04-21,2019-04-15,2019-04-21,2019-04-19,4056.49,4120.64,3943.49,4120.61,862411696.0,5,0.033091645732107766
2019-04-22/2019-04-28,2019-04-22,2019-04-28,2019-04-26,4125.97,4126.09,3887.25,3889.28,792194208.0,5,-0.0561397462996982
2019-04-29/2019-05-05,2019-04-29,2019-05-05,2019-04-30,3896.58,3953.23,3875.45,3913.21,270104304.0,2,0.0061528097745597865
2019-05-06/2019-05-12,2019-05-06,2019-05-12,2019-05-10,3775.08,3791.61,3584.82,3730.45,692229120.0,5,-0.046703345846504596
2019-05-13/2019-05-19,2019-05-13,2019-05-19,2019-05-17,3675.76,3745.36,3630.44,3648.76,560578600.0,5,-0.021898162420083245
2019-05-20/2019-05-26,2019-05-20,2019-05-26,2019-05-24,3635.74,3690.09,3578.11,3593.91,499164360.0,5,-0.015032504193205454
2019-05-27/2019-06-02,2019-05-27,2019-06-02,2019-05-31,3592.6,3693.23,3556.26,3629.79,503497376.0,5,0.009983555514745834
2019-06-03/2019-06-09,2019-06-03,2019-06-09,2019-06-06,3640.61,3672.81,3557.02,3564.68,361996696.0,4,-0.01793767683529901
2019-06-10/2019-06-16,2019-06-10,2019-06-16,2019-06-14,3578.01,3723.14,3568.28,3654.88,553185448.0,5,0.02530381408709914
2019-06-17/2019-06-23,2019-06-17,2019-06-23,2019-06-21,3654.44,3856.09,3638.78,3833.94,591771888.0,5,0.04899203257015272
2019-06-24/2019-06-30,2019-06-24,2019-06-30,2019-06-28,3836.31,3854.08,3755.01,3825.59,496063312.0,5,-0.0021779161906549938
2019-07-01/2019-07-07,2019-07-01,2019-07-07,2019-07-05,3899.33,3942.43,3854.69,3893.2,575575216.0,5,0.01767309094806291
2019-07-08/2019-07-14,2019-07-08,2019-07-14,2019-07-12,3875.75,3875.75,3774.23,3808.73,407993712.0,5,-0.02169680468509194
2019-07-15/2019-07-21,2019-07-15,2019-07-21,2019-07-19,3792.64,3844.87,3745.86,3807.96,452702664.0,5,-0.00020216712657494806
2019-07-22/2019-07-28,2019-07-22,2019-07-28,2019-07-26,3813.5,3863.59,3765.44,3858.57,431355120.0,5,0.01329058078341161
2019-07-29/2019-08-04,2019-07-29,2019-08-04,2019-08-02,3857.94,3890.73,3720.06,3747.44,453539544.0,5,-0.028800825176166334
2019-08-05/2019-08-11,2019-08-05,2019-08-11,2019-08-09,3724.41,3739.5,3575.86,3633.53,489151864.0,5,-0.03039675084857929
2019-08-12/2019-08-18,2019-08-12,2019-08-18,2019-08-16,3647.87,3738.1,3612.11,3710.54,426703952.0,5,0.02119426563149318
2019-08-19/2019-08-25,2019-08-19,2019-08-25,2019-08-23,3736.03,3829.36,3720.69,3820.86,503991352.0,5,0.029731521557509133
2019-08-26/2019-09-01,2019-08-26,2019-09-01,2019-08-30,3756.36,3848.24,3753.16,3799.59,488120104.0,5,-0.005566809566432629
2019-09-02/2019-09-08,2019-09-02,2019-09-08,2019-09-06,3803.69,3970.0,3799.82,3948.51,638171200.0,5,0.03919370247842524
2019-09-09/2019-09-15,2019-09-09,2019-09-15,2019-09-12,3980.96,3985.24,3922.95,3972.38,519535288.0,4,0.006045318360596852
2019-09-16/2019-09-22,2019-09-16,2019-09-22,2019-09-20,3981.36,3982.2,3879.49,3935.65,495450472.0,5,-0.009246346019262996
2019-09-23/2019-09-29,2019-09-23,2019-09-29,2019-09-27,3925.19,3927.01,3832.25,3852.65,448042536.0,5,-0.021089273690495847
