date,code,close,volume,amount,name,display_code,log_return
2024-07-24,sh.600519,1440.02,2412255,3490200972.8,贵州茅台,600519.SH,-0.010348898243107918
2024-07-25,sh.600519,1430.49,2834656,4054086714.05,贵州茅台,600519.SH,-0.006639959459494804
2024-07-26,sh.600519,1422.19,3235379,4594928574.1,贵州茅台,600519.SH,-0.005819105838158478
2024-07-29,sh.600519,1398.02,3086907,4342610099.97,贵州茅台,600519.SH,-0.017140987221763382
2024-07-30,sh.600519,1379.99,5177904,7103491565.79,贵州茅台,600519.SH,-0.012980697094884697
2024-07-31,sh.600519,1421.28,4327232,6098149721.25,贵州茅台,600519.SH,0.02948162127320675
2024-08-01,sh.600519,1386.16,3203810,4470988088.03,贵州茅台,600519.SH,-0.025020539818799037
2024-08-02,sh.600519,1385.45,2192769,3041726371.64,贵州茅台,600519.SH,-0.0005123376056017648
2024-08-05,sh.600519,1410.01,3773607,5327127146.61,贵州茅台,600519.SH,0.017571799948655986
2024-08-06,sh.600519,1404.7,2744433,3860735014.17,贵州茅台,600519.SH,-0.0037730397087818446
2024-08-07,sh.600519,1415.5,2062221,2910580747.04,贵州茅台,600519.SH,0.007659068715089923
2024-08-08,sh.600519,1430.69,2513082,3592705429.82,贵州茅台,600519.SH,0.010674019810389623
2024-08-09,sh.600519,1436.8,3013849,4368705515.28,贵州茅台,600519.SH,0.004261573185591061
2024-08-12,sh.600519,1436.1,1363203,1956573437.91,贵州茅台,600519.SH,-0.0004873124813613572
2024-08-13,sh.600519,1423.01,1630843,2317037755.64,贵州茅台,600519.SH,-0.009156759594525887
2024-08-14,sh.600519,1413.3,1341431,1898377426.46,贵州茅台,600519.SH,-0.006846951097942089
2024-08-15,sh.600519,1426.89,2303897,3275699572.4,贵州茅台,600519.SH,0.009569855338273037
2024-08-16,sh.600519,1431.2,1645470,2349825846.1,贵州茅台,600519.SH,0.003016002482130631
2024-08-19,sh.600519,1425.44,2043279,2942106435.2,贵州茅台,600519.SH,-0.004032715222175298
2024-08-20,sh.600519,1422.72,1859138,2644814343.58,贵州茅台,600519.SH,-0.0019100056365566331
2024-08-21,sh.600519,1417.58,1509165,2144746551.03,贵州茅台,600519.SH,-0.0036193399366286627
2024-08-22,sh.600519,1410.05,1952729,2750868072.63,贵州茅台,600519.SH,-0.005326027662753141
2024-08-23,sh.600519,1414.99,1532046,2166499201.67,贵州茅台,600519.SH,0.003497299178160773
2024-08-26,sh.600519,1412.0,1562841,2207595460.92,贵州茅台,600519.SH,-0.0021153248613687836
2024-08-27,sh.600519,1404.07,1365740,1920770569.55,贵州茅台,600519.SH,-0.00563197716041941
2024-08-28,sh.600519,1389.0,3166351,4388025874.57,贵州茅台,600519.SH,-0.010791098138423827
2024-08-29,sh.600519,1413.3,2747161,3864270620.62,贵州茅台,600519.SH,0.017343331619761315
2024-08-30,sh.600519,1443.19,3873923,5576118648.81,贵州茅台,600519.SH,0.020928545863684533
2024-09-02,sh.600519,1395.0,3413459,4801049927.2,贵州茅台,600519.SH,-0.03396152598232405
2024-09-03,sh.600519,1410.0,1788760,2516125842.32,贵州茅台,600519.SH,0.010695289116748441
2024-09-04,sh.600519,1400.0,1421109,1995221417.23,贵州茅台,600519.SH,-0.0071174677688645716
2024-09-05,sh.600519,1404.88,1450295,2033680838.85,贵州茅台,600519.SH,0.0034796532642493716
2024-09-06,sh.600519,1398.0,1032104,1445537257.09,贵州茅台,600519.SH,-0.004909246073843576
2024-09-09,sh.600519,1375.0,2863755,3950086824.52,贵州茅台,600519.SH,-0.016588912693084268
2024-09-10,sh.600519,1378.0,1980284,2737295643.84,贵州茅台,600519.SH,0.002179441472932808
2024-09-11,sh.600519,1380.0,2099577,2892932793.68,贵州茅台,600519.SH,0.0014503265776459884
2024-09-12,sh.600519,1335.06,4794831,6482445000.4,贵州茅台,600519.SH,-0.033107264506618606
